timestamp,Day,open,high,low,close,volume,SMA,EMA,WMA,DEMA,KAMA,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,RSI,ADX,ROC,Aroon Down,Aroon Up,Real Lower Band,Real Middle Band,Real Upper Band,SAR
11/20/09,1,19.28,19.28,18.9011,18.97,2865400,18.8059,18.962,18.8952,18.6837,18.5065,-0.1574,0.4662,-0.6236,62.4019,64.6018,47.3198,11.2525,-7.0098,53.3333,10,18.6586,19.09,19.5214,18.74
11/23/09,2,19.51,19.9,19.2805,19.51,4250700,18.9225,19.0305,19.0017,18.8035,18.5574,-0.0297,0.4902,-0.5199,65.6326,66.2649,53.7144,10.8821,-4.5966,50,6.6667,18.5304,19.182,19.8336,18.9011
11/24/09,3,19.29,19.8939,19.29,19.86,3994300,19.0417,19.1342,19.0674,18.9715,18.6479,0.0874,0.4926,-0.4052,66.5126,68.671,57.3298,10.5242,-1.9259,46.6667,3.3333,18.4698,19.37,20.2702,18.9011
11/25/09,4,19.77,19.8881,19.57,19.78,2845400,19.1392,19.2149,19.1812,19.1026,18.7763,0.2081,0.4949,-0.2868,73.0422,84.1906,56.2483,10.1781,-4.8581,43.3333,0,18.5094,19.484,20.4586,19.1508
11/27/09,5,19.07,19.18,18.46,18.78,3794600,19.1783,19.1605,19.1962,19.0346,18.7674,0.2876,0.4593,-0.1718,73.9273,68.9204,44.8571,10.2776,-7.9863,40,13.3333,18.0824,19.38,20.6776,19.9
11/30/09,6,18.73,18.824,18.38,18.68,4392500,19.1858,19.1005,19.1608,18.9585,18.7616,0.3338,0.392,-0.0582,65.4755,43.3154,43.8997,10.4016,-5.2258,36.6667,10,17.8277,19.322,20.8163,19.8881
12/1/09,7,18.95,19.24,18.89,19.17,3640400,19.1467,19.1092,19.1457,18.9826,18.7625,0.3599,0.3162,0.0437,47.8722,31.3808,49.5787,10.3344,-3.5229,33.3333,6.6667,17.7812,19.254,20.7268,19.7373
12/2/09,8,19.09,19.6,19.08,19.6,3444200,19.14,19.1705,19.1451,19.082,18.7691,0.4028,0.2677,0.1351,41.8784,50.939,53.9811,10.1169,-4.7619,30,3.3333,17.8984,19.202,20.5056,19.6016
12/3/09,9,19.31,19.84,19.31,19.69,4437800,19.1708,19.2355,19.1679,19.1844,18.7853,0.4146,0.2027,0.2119,52.1962,74.2688,54.8693,9.8087,-1.55,26.6667,0,17.9496,19.184,20.4184,18.38
12/4/09,10,20,20.09,19.4415,20.02,4354400,19.2517,19.3335,19.2714,19.3327,18.8,0.4381,0.1601,0.2781,71.3503,88.8431,58.0653,9.5522,0.1501,23.3333,3.3333,18.0412,19.432,20.8228,18.453
12/7/09,11,20.04,20.05,19.49,19.62,2908100,19.3542,19.3693,19.3751,19.3877,18.8234,0.4469,0.1159,0.331,81.7557,82.1553,53.1519,9.3041,-1.1587,20,0,18.8063,19.62,20.4337,18.6167
12/8/09,12,19.46,19.66,19.38,19.45,2141500,19.375,19.3794,19.399,19.4041,18.8276,0.406,0.0395,0.3664,78.4854,64.4578,51.1701,9.0176,1.0915,16.6667,93.3333,19.1091,19.676,20.2429,18.764
12/9/09,13,19.41,19.71,19.32,19.6,2210100,19.3858,19.407,19.4123,19.4451,18.83,0.3981,0.0106,0.3875,63.8317,44.8822,52.8409,8.7192,5.3197,13.3333,90,19.1091,19.676,20.2429,18.8966
12/10/09,14,19.65,19.75,19.54,19.59,2530000,19.3975,19.4299,19.4525,19.4782,18.8336,0.3544,-0.0406,0.3949,48.5442,36.2927,52.7115,8.444,7.3425,10,86.6667,19.0809,19.656,20.2311,19.016
12/11/09,15,19.63,19.78,19.58,19.66,1364600,19.4258,19.4586,19.4832,19.5191,19.0062,0.2815,-0.1076,0.3891,40.2605,39.6066,53.5692,8.1915,3.692,6.6667,83.3333,19.3705,19.584,19.7975,19.1234
12/14/09,16,19.76,19.95,19.66,19.93,1458200,19.425,19.5176,19.5266,19.6028,19.197,0.2225,-0.1514,0.3739,45.1293,59.4886,56.8224,8.0245,10.3544,3.3333,80,19.1726,19.646,20.1194,19.22
12/15/09,17,19.74,19.85,19.55,19.59,1991900,19.4808,19.5266,19.5635,19.6126,19.2508,0.2465,-0.11,0.3565,53.727,62.086,51.8918,7.8102,8.6522,0,76.6667,19.2821,19.674,20.0659,19.307
12/16/09,18,19.79,20.17,19.7,20.05,2160900,19.5692,19.592,19.6047,19.7038,19.316,0.3088,-0.036,0.3448,65.0398,73.545,57.2914,7.7481,9.6827,6.6667,100,19.1937,19.764,20.3343,19.3853
12/17/09,19,19.9,19.96,19.75,19.87,1817400,19.6483,19.6268,19.6556,19.749,19.3631,0.3102,-0.0203,0.3305,64.7017,58.4741,54.704,7.6882,9.1758,3.3333,96.6667,19.3074,19.82,20.3326,19.503
12/18/09,20,20,20.01,19.65,20,2947800,19.7242,19.6734,19.7178,19.8107,19.3739,0.2947,-0.0189,0.3136,66.8004,68.382,56.2411,7.5787,10.6807,0,93.3333,19.4049,19.888,20.3711,19.6031
12/21/09,21,19.99,20.1,19.75,20.03,1553600,19.7808,19.718,19.7711,19.8684,19.3918,0.2899,-0.0108,0.3007,64.6868,67.2043,56.607,7.5156,8.5049,0,90,19.3952,19.908,20.4208,19.65
12/22/09,22,20.2994,20.3,20,20.16,1645700,19.8058,19.7733,19.8525,19.9406,19.4826,0.2539,-0.0308,0.2847,70.58,76.1538,58.2369,7.5485,7.8075,3.3333,100,19.7422,20.022,20.3018,19.65
12/23/09,23,20.23,20.25,20.09,20.2,849200,19.8216,19.8266,19.914,20.009,19.6078,0.258,-0.016,0.274,74.5079,80.1654,58.7503,7.5803,9.8423,0,96.6667,19.6973,20.052,20.4067,19.75
12/24/09,24,20.17,20.46,20.1608,20.46,654300,19.8808,19.9058,19.9585,20.1139,19.7071,0.2829,0.0088,0.2742,81.3372,87.6923,62.0187,7.7101,9.2365,40,100,19.6796,20.17,20.6604,19.86
12/28/09,25,20.45,20.58,20.39,20.48,933400,19.9674,19.9776,20.0309,20.2065,19.8523,0.3074,0.0238,0.2836,86.2378,90.8557,62.2663,7.8912,6.8336,36.6667,100,19.7383,20.266,20.7937,20.01
