Day,Price,Open,High,Low,close,adjusted_close,volume,Change %,RSI,SMA,EMA,MACD,MACD_Hist,MACD_Signal,SlowD,SlowK,WMA,Real Upper Band,Real Lower Band,Real Middle Band,Chaikin A/D,OBV,MOM,WILLR,ADX,CCI,Aroon Up,Aroon Down
1,"1,845.73","1,857.68","1,857.68","1,834.44",1845.73,1845.73,3428220000,-0.74%,56.5582,1818.4695,1831.0794,12.3266,3.6099,8.7167,66.9694,62.4653,1836.073,1889.2613,1747.6777,1818.4695,9.73E+11,7.41E+11,63.14,-17.0693,14.5093,64.2922,95,15
2,"1,873.91","1,849.23","1,876.23","1,849.23",1873.91,1873.91,3765770000,1.53%,62.2012,1825.0705,1835.1585,14.1594,4.3541,9.8053,66.9266,66.9901,1841.3531,1890.4848,1759.6562,1825.0705,9.76E+11,7.45E+11,132.02,-1.6774,14.6482,107.4902,100,10
3,"1,873.81","1,874.05","1,876.53","1,871.11",1873.8101,1873.8101,3392990000,-0.01%,62.1711,1831.001,1838.8396,15.426,4.4966,10.9294,67.786,73.9026,1845.9949,1891.3092,1770.6928,1831.001,9.76E+11,7.42E+11,118.6101,-1.9623,14.7877,123.5507,100,5
4,"1,877.03","1,874.18","1,881.94","1,874.18",1877.03,1877.03,3360450000,0.17%,62.7829,1837.2705,1842.4768,16.4994,4.456,12.0434,77.8142,92.5499,1850.3786,1888.6899,1785.8511,1837.2705,9.75E+11,7.45E+11,125.39,-3.8076,15.0597,139.9508,100,0
5,"1,878.04","1,878.52","1,883.57","1,870.56",1878.04,1878.04,3564740000,0.05%,62.9805,1842.501,1845.8638,17.2329,4.1516,13.0813,85.7003,90.6485,1854.2614,1887.7981,1797.2039,1842.501,9.76E+11,7.49E+11,104.61,-5.1412,15.1783,135.0284,100,0
6,"1,877.17","1,877.86","1,877.87","1,867.04",1877.17,1877.17,3021350000,-0.05%,62.6787,1846.5085,1848.8453,17.5419,3.5684,13.9734,89.9295,86.5903,1857.5633,1889.1028,1803.9142,1846.5085,9.79E+11,7.46E+11,80.15,-6.9761,15.1546,115.3665,95,0
7,"1,867.63","1,878.26","1,882.35","1,863.88",1867.63,1867.63,3392400000,-0.51%,59.3929,1849.898,1850.6343,16.823,2.2796,14.5433,80.0965,63.0509,1859.5748,1887.6068,1812.1892,1849.898,9.77E+11,7.42E+11,67.79,-19.1678,15.2608,94.5487,90,0
8,"1,868.20","1,866.15","1,868.38","1,854.38",1868.2,1868.2,3270860000,0.03%,59.5263,1852.3205,1852.3073,16.1135,1.2561,14.8574,66.2974,49.2511,1861.3179,1888.1491,1816.4919,1852.3205,9.80E+11,7.45E+11,48.45,-20.6725,14.9914,54.035,85,0
9,"1,846.34","1,869.06","1,874.40","1,841.86",1846.34,1846.34,3670990000,-1.17%,52.5545,1853.6745,1851.7389,13.6302,-0.9818,14.6119,46.0041,25.7103,1860.7483,1886.3075,1821.0416,1853.6745,9.77E+11,7.42E+11,27.08,-50.074,14.293,5.6856,80,5
10,"1,841.13","1,845.07","1,852.44","1,839.57",1841.13,1841.13,3285460000,-0.28%,51.0543,1854.2395,1850.7286,11.1136,-2.7987,13.9123,31.8463,20.5775,1859.5536,1885.5667,1822.9123,1854.2395,9.75E+11,7.38E+11,11.3,-71.9443,13.6043,-49.6049,75,0
11,"1,858.83","1,842.81","1,862.30","1,842.81",1858.83,1858.83,2860490000,0.96%,55.5879,1855.2495,1851.5001,10.4273,-2.788,13.2153,22.0302,19.8028,1859.9908,1885.7912,1824.7078,1855.2495,9.76E+11,7.41E+11,20.2,-41.9393,13.2235,-2.139,70,15
12,"1,872.25","1,858.92","1,873.76","1,858.92",1872.25,1872.25,2930190000,0.72%,58.645,1856.824,1853.4763,10.8412,-1.8992,12.7405,29.2929,47.4983,1861.6099,1887.4621,1826.1859,1856.824,9.79E+11,7.44E+11,31.49,-19.1896,13.2066,64.2866,65,10
13,"1,860.77","1,872.25","1,874.14","1,850.35",1860.77,1860.77,3289210000,-0.61%,55.2222,1858.425,1854.1709,10.1263,-2.0914,12.2176,44.6243,66.5718,1861.9857,1886.2445,1830.6055,1858.425,9.78E+11,7.41E+11,32.02,-38.6505,12.8824,22.7963,60,5
14,"1,872.01","1,860.09","1,873.49","1,854.63",1872.01,1872.01,3327540000,0.60%,57.7628,1860.0365,1855.8699,10.3473,-1.4962,11.8436,65.6381,82.8443,1863.2795,1887.072,1833.001,1860.0365,9.81E+11,7.44E+11,32.23,-23.5293,12.5743,45.5056,55,0
15,"1,866.52","1,874.53","1,883.97","1,863.46",1866.52,1866.52,5270710000,-0.29%,56.1255,1861.55,1856.8842,9.9647,-1.5031,11.4678,73.3954,70.7701,1863.897,1886.3896,1836.7104,1861.55,9.77E+11,7.39E+11,30.27,-35.2311,12.603,67.7986,100,30
16,"1,857.44","1,867.67","1,873.34","1,849.69",1857.4399,1857.4399,3409000000,-0.49%,53.4861,1862.0415,1856.9371,8.8269,-2.1127,10.9396,70.5438,58.017,1863.5055,1886.1362,1837.9468,1862.0415,9.76E+11,7.36E+11,9.83,-53.5635,12.138,-10.2821,95,25
17,"1,865.62","1,859.48","1,871.87","1,855.96",1865.62,1865.62,3200560000,0.44%,55.4719,1863.0665,1857.7641,8.4875,-1.9617,10.4492,57.0049,42.2276,1863.8463,1885.906,1840.227,1863.0665,9.77E+11,7.39E+11,20.5,-37.0482,11.6963,14.8699,90,20
18,"1,852.56","1,867.09","1,875.92","1,852.56",1852.5601,1852.5601,3480850000,-0.70%,51.7583,1863.4365,1857.2684,7.0831,-2.6929,9.776,42.0205,25.8169,1862.8457,1885.3236,1841.5494,1863.4365,9.74E+11,7.35E+11,7.4,-63.4159,11.41,-24.3305,85,15
19,"1,849.04","1,852.11","1,855.55","1,842.11",1849.04,1849.04,3733430000,-0.19%,50.7935,1863.174,1856.4848,5.6212,-3.3238,8.945,30.6147,23.7994,1861.4746,1885.6126,1840.7354,1863.174,9.74E+11,7.32E+11,-5.25,-70.5227,10.9102,-119.0267,80,10
20,"1,857.62","1,850.07","1,866.63","1,850.07",1857.62,1857.62,2955520000,0.46%,53.0394,1863.0825,1856.5929,5.0962,-3.079,8.1752,24.4057,23.6006,1860.9457,1885.5959,1840.5691,1863.0825,9.73E+11,7.35E+11,-1.83,-53.2,10.6598,-42.1842,75,5
